Name: 深圳卫视, URL: http://114.243.98.187:8822/rtp/239.3.1.134:8020$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 120 ms
Name: 深圳卫视, URL: http://117.32.85.224:8014/rtp/239.112.205.67:5140$1920x1080, Date: 2024-09-10, Resolution: 1920x1080, Response Time: 132 ms
Name: 深圳卫视, URL: http://111.167.14.67:5002/rtp/225.1.1.117:5002$1920x1080, Date: 2024-09-11, Resolution: 1920x1080, Response Time: 133 ms
Name: 深圳卫视, URL: http://14.106.80.53:6789/rtp/235.254.198.71:1560$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 158 ms
Name: 深圳卫视, URL: http://101.31.57.76:4022/rtp/239.253.92.86:8017$1920x1080, Date: 2024-09-11, Resolution: 1920x1080, Response Time: 180 ms
Name: 深圳卫视, URL: http://60.10.225.157:555/rtp/239.253.92.86:8017$1920x1080, Date: 2024-06-11, Resolution: 1920x1080, Response Time: 182 ms
Name: 深圳卫视, URL: http://115.49.75.58:4000/rtp/225.1.4.90:1119$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 202 ms
Name: 深圳卫视, URL: http://144.52.199.164:8888/rtp/239.21.1.93:5002$1920x1080, Date: 2024-09-07, Resolution: 1920x1080, Response Time: 203 ms
Name: 深圳卫视, URL: http://123.123.167.240:8000/rtp/239.3.1.134:8020$1920x1080, Date: 2024-06-09, Resolution: 1920x1080, Response Time: 213 ms
Name: 深圳卫视, URL: http://222.71.139.116:8001/rtp/239.45.3.231:5140$1920x1080, Date: 2024-08-23, Resolution: 1920x1080, Response Time: 217 ms
Name: 深圳卫视, URL: http://39.77.2.151:8989/rtp/239.253.254.91:8000$1920x1080, Date: 2024-09-10, Resolution: 1920x1080, Response Time: 221 ms
Name: 深圳卫视, URL: http://124.235.218.125:30007/rtp/239.37.0.047:5540$1920x1080, Date: 2024-09-11, Resolution: 1920x1080, Response Time: 223 ms
Name: 深圳卫视, URL: http://123.171.5.2:1724/rtp/239.21.1.93:5002$1920x1080, Date: 2024-09-12, Resolution: 1920x1080, Response Time: 227 ms
Name: 深圳卫视, URL: http://123.145.4.16:8004/rtp/225.0.4.202:7980$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 234 ms
Name: 深圳卫视, URL: http://114.91.25.0:10010/rtp/239.45.3.231:5140$1920x1080, Date: 2024-09-05, Resolution: 1920x1080, Response Time: 244 ms
Name: 深圳卫视, URL: http://116.226.37.29:4022/rtp/239.45.3.231:5140$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 288 ms
Name: 深圳卫视, URL: http://123.116.134.71:4022/rtp/239.3.1.134:8020$1920x1080, Date: 2024-09-13, Resolution: 1920x1080, Response Time: 320 ms
